,points_x,points_y,celltypes,phenotypes
549,6.06065,8.48478,Stroma,
550,5.34337,9.52524,Stroma,
551,5.28228,10.0804,Stroma,
552,4.88489,10.9086,Stroma,
553,4.53554,11.7059,Stroma,
554,4.03346,12.5454,Stroma,
555,3.92233,13.5363,Stroma,
556,4.12521,14.1858,Stroma,
557,3.75611,15.9669,Stroma,
558,7.41082,16.3059,Stroma,
559,6.91296,15.7162,Stroma,
560,8.55704,19.2736,Stroma,
561,9.19206,19.1246,Stroma,
562,9.88096,21.009,Stroma,
563,9.50792,20.4564,Stroma,
564,9.8963,22.466,Stroma,
565,7.43328,21.217,Stroma,
566,5.2151,19.8064,Stroma,
567,5.32847,21.1541,Stroma,
568,5.92136,21.6442,Stroma,
569,4.08876,22.9664,Stroma,
570,4.4521,24.6837,Stroma,
571,3.81183,24.5938,Stroma,
572,4.06458,25.8566,Stroma,
573,4.63572,27.0318,Stroma,
574,4.38777,27.6386,Stroma,
575,4.53216,28.2188,Stroma,
576,6.06089,30.0244,Stroma,
577,6.49694,30.4895,Stroma,
578,4.26608,32.1848,Stroma,
579,7.13211,31.6059,Stroma,
580,5.43136,33.6728,Stroma,
581,7.67439,35.7936,Stroma,
582,8.5647,35.5823,Stroma,
583,9.98098,35.4851,Stroma,
584,5.89418,37.2283,Stroma,
585,7.39427,36.6578,Stroma,
586,9.51721,38.2036,Stroma,
587,6.78034,40.2642,Stroma,
588,5.83101,40.7406,Stroma,
589,4.55164,41.5414,Stroma,
590,4.78556,43.0935,Stroma,
591,4.32841,43.6349,Stroma,
592,5.6201,44.4598,Stroma,
593,5.81768,45.5947,Stroma,
594,5.07636,45.2988,Stroma,
595,5.39032,46.0698,Stroma,
596,5.5135,46.8752,Stroma,
597,5.45816,47.6539,Stroma,
598,6.07104,47.5313,Stroma,
599,6.7467,47.6118,Stroma,
600,6.36903,48.3171,Stroma,
601,5.99672,49.1884,Stroma,
602,8.63816,50.0,Stroma,
603,6.17962,0.0,Stroma,
604,6.51977,0.799757,Stroma,
605,6.55881,1.53664,Stroma,
606,6.78755,2.36842,Stroma,
607,6.96752,3.02868,Stroma,
608,7.27104,3.64952,Stroma,
609,6.95442,4.18023,Stroma,
610,7.2274,4.77154,Stroma,
611,7.73076,5.23186,Stroma,
612,7.50153,5.76318,Stroma,
613,6.68107,6.33186,Stroma,
614,5.85431,6.80528,Stroma,
615,6.50535,7.0047,Stroma,
616,6.40668,7.57312,Stroma,
617,5.89118,9.05358,Stroma,
